Geneid	length	lib13	lib14	lib15	lib16	lib17	lib18	lib19	lib20
DDB_G0293840	828	0.684617	0.374586	10.3913	12.6527	74.5871	78.3575	49.7714	50.984
DDB_G0293842	612	0.454983	0.0418497	0.337809	0.392224	0.0486177	0.0468749	0.130965	0
DDB_G0293844	1182	24.2013	20.3982	39.356	40.8658	27.4814	23.6774	7.19315	6.69533
DDB_G0293846	3216	0.119135	0.0643783	0.203635	0.154607	0.0526336	0.0345285	0.0328126	0.042831
DDB_G0293830	1110	1.43673	1.1824	7.27777	10.4851	5.04765	5.03186	2.33541	1.70732
DDB_G0293832	1038	0.0908721	0.0594299	22.7633	39.9654	58.8196	66.7915	4.63259	3.48351
DDB_G0293792	1311	1.13205	0.963167	5.22913	6.16219	4.48301	4.04929	1.16852	1.46583
DDB_G0293794	1062	2.10112	1.00171	4.77092	4.96094	2.21228	1.63964	0.888673	1.28387
DDB_G0293796	144	16.8305	14.3781	79.144	61.4005	17.5616	18.5544	3.86285	4.70656
DDB_G0293798	495	1.72747	1.20346	11.5672	15.6992	5.97055	5.2093	1.46025	1.50668
DDB_G0293800	2421	4.47187	3.38485	4.64604	4.60541	4.69347	5.25825	2.08707	1.73932
DDB_G0293802	2151	0.277184	0.209569	105.419	135.236	236.334	348.593	27.3144	37.4647
DDB_G0293804	1341	2.2885	1.66815	5.78645	9.15567	6.05859	5.59526	5.49824	6.53399
DDB_G0293806	741	0.0285327	0	0.558441	0.729254	2.17745	2.00839	17.3943	10.9297
DDB_G0293808	273	0.192079	0	2.85128	1.14787	13.6571	14.2292	32.241	8.1698
DDB_G0293810	156	0	0	1.17623	0	1.9368	1.97053	7.92322	0.665931
DDB_G0293812	2343	0.6443	0.500309	7.11761	7.2338	4.53711	4.7232	1.77167	1.88903
DDB_G0293814	846	0	0	4.34908	5.91286	4.07861	4.08303	0.294452	0.343122
DDB_G0293816	936	0.0415262	0.0453367	223.659	298.922	53.7431	38.6678	3.26215	3.65168
DDB_G0293818	3318	1.08287	0.646423	1.56192	2.16549	1.25146	1.76074	6.18491	8.14954
DDB_G0293820	819	1.29053	1.1409	11.8279	19.0678	11.193	11.3329	1.3169	1.57497
DDB_G0293822	1332	0.0267433	0.0290584	0.0715281	0.268574	1.3215	1.26148	0.16331	0.219429
DDB_G0293824	1575	5.15698	4.47665	10.71	15.5185	5.69597	5.70134	1.99066	2.76031
DDB_G0293826	3786	0.129536	0.0225437	4.39464	5.98453	6.40983	7.18061	4.80387	3.89253
DDB_G0293828	2283	3.95131	2.77772	10.0326	11.1206	7.57573	6.78727	3.39394	3.21006
DDB_G0293742	798	1284.97	1585.47	382.641	300.832	173.506	120.386	214.929	227.117
DDB_G0293744	2538	0.122312	0.0277609	0.2391	0.391006	0.0152174	0.0149269	0.0282467	0.0346775
DDB_G0293746	1188	0	0	2.86381	3.03158	6.22244	5.39561	5.46498	5.49069
DDB_G0293748	4056	1.84892	0.964634	2.84202	3.4931	2.12783	2.1758	1.5287	1.87457
DDB_G0293750	2748	2.51297	2.20112	10.3782	10.7081	7.4883	7.89913	3.51339	4.38592
DDB_G0293752	2682	12.2229	11.354	42.0898	48.6279	20.5073	15.7324	5.61159	5.53408
DDB_G0293754	537	0.0468666	0	9.1996	23.7554	8.91083	6.65091	2.78688	2.80857
DDB_G0293756	3300	1.13925	0.673136	2.00292	1.68366	0.54593	0.637983	0.259354	0.380094
DDB_G0293758	681	53.4951	48.8635	31.1131	37.5076	21.2643	17.3458	26.7244	24.8533
DDB_G0293760	345	1.45032	1.30115	1.20557	2.48355	0.964538	0.912335	0.276734	0.136462
DDB_G0293762	3414	0.758771	0.67923	0.495228	0.421693	0.0877037	0.113292	0.102055	0.0903526
